dataset,attribute,segment,total_orders,incidence_rate,miss_item_weighted_rate_%,revenue_loss_mean,rev_loss_weighted_rate_%,risk_score,risk_score_0_100,risk_level
operational,period,Morning,2481,0.16122531237404272,1.7755538517412535,2.8264281602983816,5.673426796115712,0.9371900689835354,93.71900689835354,Critical Risk
operational,month,3,850,0.16705882352941176,1.7834095975595445,3.0334241036288074,6.957654677268854,0.9323036492753405,93.23036492753405,Critical Risk
customer,customer_age_group,Adult,2009,0.15778994524639123,1.7307498233928753,2.9866957982778715,6.5644684307639825,0.9289790611018406,92.89790611018405,Critical Risk
driver,driver_id_type,Multiple IDs,76,0.2631578947368421,3.3093525179856114,3.2686129089884446,7.818373782811778,0.8999999978011273,89.99999978011273,Critical Risk
operational,day_of_week,Monday,1374,0.16084425036390101,1.8252253594576475,3.0427932801829574,7.0897060538133925,0.8999999924785911,89.99999924785911,Critical Risk
driver,driver_age_group,Adult,2171,0.1773376324274528,1.82372203019829,3.215569951931321,8.243285630586021,0.8860572001085373,88.60572001085373,Critical Risk
driver,trip_bin,Medium (25–41 trips),2654,0.16880180859080632,1.8901787078051018,2.822650863911497,5.526493864136744,0.8718393878959406,87.18393878959407,Critical Risk
operational,day_of_week,Saturday,1476,0.15718157181571815,1.7391304347826086,2.917387592702937,6.138868919641583,0.7852235785128028,78.52235785128028,Critical Risk
operational,region,Orlando,1401,0.15132048536759457,1.665951665951666,3.020321122121763,6.897342127134058,0.7767126251200056,77.67126251200057,Critical Risk
operational,month,8,871,0.15614236509758897,1.8612922347362182,2.828919679403999,5.6574183247279235,0.6993651357114499,69.93651357114499,Critical Risk
operational,region,Altamonte Springs,1426,0.16199158485273493,1.7900099051931513,2.8628898841453685,5.763186824819675,0.6960788291454155,69.60788291454155,Critical Risk
operational,month,1,843,0.14590747330960854,1.7107692307692306,2.9226276303638516,6.282327437375342,0.6908063431341634,69.08063431341634,Critical Risk
driver,trip_bin,Low (11–24 trips),2477,0.14129995962858297,1.5655499342708041,2.874605087658995,5.8284834699391705,0.6743402304154702,67.43402304154702,High Risk
product,price_bin,Premium ($300+),200,1.0,10.306271268838113,6.388593757963461,164.1413935567196,0.6173051518188707,61.73051518188707,Critical Risk
operational,month,4,789,0.15335868187579213,1.7828418230563001,2.831307406043855,5.746249976738525,0.6120615870780793,61.20615870780794,High Risk
product,macro_category,Electronics,269,1.0,10.581222056631892,6.20967057573454,141.23155217361193,0.5999999998869825,59.99999998869825,Critical Risk
driver,driver_age_group,Senior,1406,0.18492176386913228,1.8837849587016373,2.8116414427022733,5.465267950735625,0.5970726176821506,59.70726176821506,High Risk
operational,day_of_week,Tuesday,1420,0.1591549295774648,1.7694144080887517,2.7322530567721914,5.17212142282882,0.5803013553900866,58.03013553900867,High Risk
driver,driver_age_group,Experienced,2072,0.16843629343629343,1.6897453277815433,2.8784229733988833,5.927436985232895,0.5585934808811386,55.85934808811386,Moderate Risk
operational,month,6,823,0.13730255164034022,1.5504822366011477,2.9005292569017795,5.97710430060191,0.5459641995075245,54.59641995075245,High Risk
operational,day_of_week,Wednesday,1416,0.1553672316384181,1.7009719839908521,2.733830825699181,5.130808849593484,0.5208941870640892,52.08941870640892,Moderate Risk
product,price_bin,Very High ($100-300),69,1.0,11.483253588516746,5.370549719543708,66.52205568956863,0.5058967971849984,50.58967971849984,High Risk
operational,month,11,808,0.1646039603960396,1.7820090321005737,2.676889001846649,4.655038109729827,0.4903874390983842,49.03874390983842,High Risk
operational,month,2,745,0.1342281879194631,1.44024912417283,2.938631260356369,6.269903004423688,0.4870368865561392,48.70368865561392,Moderate Risk
operational,region,Winter Park,1485,0.1447811447811448,1.5889114266396214,2.8157433475954763,5.558998659469692,0.46779614371778117,46.779614371778116,High Risk
product,price_bin,Low ($10-25),826,1.0,12.584573748308525,3.2489544853778223,7.411904154607493,0.45709878312564417,45.70987831256442,Moderate Risk
driver,trip_bin,High (42–60 trips),2483,0.15142972211035038,1.663913621530156,2.7345312066553746,5.140724314009417,0.44265638774794236,44.26563877479423,Moderate Risk
operational,period,Afternoon,2526,0.14766429136975456,1.6052129688493324,2.7751929589111968,5.3236241998445175,0.43015967201383165,43.01596720138316,High Risk
customer,customer_age_group,Young Adult,1095,0.15251141552511416,1.6254994551398474,2.808901386914967,5.507171933673649,0.40048930431345336,40.04893043134533,High Risk
product,macro_category,Supermarket,1394,1.0,12.222696245733788,3.06131815222629,5.969000557903796,0.3999999998171485,39.99999998171485,Low Risk
operational,day_of_week,Sunday,1487,0.14391392064559516,1.5934065934065933,2.6695936164618734,4.705421316780987,0.3944401983964274,39.44401983964274,Moderate Risk
operational,month,7,891,0.15712682379349047,1.675132389495299,2.5753423696375353,4.328281927844529,0.3892346675769807,38.92346675769807,Moderate Risk
operational,month,10,866,0.1397228637413395,1.5382808830436825,2.703440671276628,4.881959799157654,0.3729605564337586,37.29605564337586,Moderate Risk
operational,period,Late Night,2557,0.14665623777864686,1.610592744589415,2.758058313328871,5.2134154670729815,0.3640916695068598,36.40916695068598,Moderate Risk
customer,customer_age_group,Senior,4249,0.14991762767710048,1.6840417000801924,2.7078810489604397,4.949095773798226,0.35355326428980244,35.35532642898024,Moderate Risk
operational,region,Apopka,1422,0.15330520393811534,1.7593443086271463,2.6699388208410473,4.707913293047437,0.35030305164377024,35.030305164377026,Moderate Risk
operational,day_of_week,Friday,1440,0.1375,1.5399556048834628,2.730965716167867,5.0120836670769835,0.34766508170346705,34.766508170346704,Low Risk
operational,month,5,830,0.16987951807228915,1.828612405880244,2.465034803228753,3.8081492073372996,0.34657672125190164,34.65767212519017,Low Risk
operational,region,Clermont,1384,0.15823699421965318,1.749963992510442,2.670275301601366,4.762663526645857,0.3451326762682961,34.51326762682961,Moderate Risk
operational,month,9,826,0.13922518159806296,1.540888133948071,2.62868549866703,4.562203256125272,0.2729843294164941,27.29843294164941,Low Risk
