order_id,items_delivered,items_missing,order_amount,missing_flag,revenue_loss,missing_product_id,product_name,product_category,macro_category,product_price,product_position,is_missing_item,price_bin
c9da15aa-be24-4871-92a3-dfa7746fff69,10,1,1095.54,1,424.82,PWPX0982761091100,Apple MacBook Pro,Electronics,Electronics,424.82,1,1,Premium ($300+)
ccacc183-09f8-4fd5-af35-009d18656326,11,1,659.11,1,5.8,PWPX0982761091004,Instant Noodles,Supermarket,Supermarket,5.8,1,1,Very Low ($0-10)
f4e1d30b-c3d1-413f-99b8-93c0b46d68bf,18,1,251.45,1,14.22,PWPX0982761091016,Romaine Lettuce,Supermarket,Supermarket,14.22,1,1,Low ($10-25)
993d31f4-9358-41f0-a371-0021e55cef5d,12,1,598.83,1,9.89,PWPX0982761091056,Salted Butter,Supermarket,Supermarket,9.89,1,1,Very Low ($0-10)
3e0a8f1b-3cd6-4d64-90e3-6b38dc368925,3,1,27.18,1,18.81,PWPX0982761091064,Red Onions,Supermarket,Supermarket,18.81,1,1,Low ($10-25)
d0b8162c-2dfc-4038-93e2-fbe240dba870,5,1,494.32,1,6.13,PWPX0982761091072,Cereal Bars,Supermarket,Supermarket,6.13,1,1,Very Low ($0-10)
97fd47af-79b1-4177-b0be-2d26a2f8c288,1,1,220.13,1,12.71,PWPX0982761091010,Italian Sausage,Supermarket,Supermarket,12.71,1,1,Low ($10-25)
54a427fe-60f7-4df1-9bfc-fe9a4223adc2,19,1,447.17,1,10.78,PWPX0982761091024,Chocolate Chip Cookies,Supermarket,Supermarket,10.78,1,1,Low ($10-25)
7d2c4cb6-ffe3-4c73-80f1-7dd318eeae99,17,1,289.71,1,3.94,PWPX0982761090985,Organic Bananas,Supermarket,Supermarket,3.94,1,1,Very Low ($0-10)
30ffb11c-87cc-43bb-9b8f-e810f25a0d87,10,1,407.36,1,9.37,PWPX0982761091006,Soy Sauce,Supermarket,Supermarket,9.37,1,1,Very Low ($0-10)
8c8c0bac-315a-47a8-9b79-eb70e3d7393d,3,1,132.85,1,10.78,PWPX0982761091024,Chocolate Chip Cookies,Supermarket,Supermarket,10.78,1,1,Low ($10-25)
55354972-5673-41a0-9dd5-1c4437ea5adc,5,1,444.54,1,11.26,PWPX0982761091073,Apple Sauce,Supermarket,Supermarket,11.26,1,1,Low ($10-25)
462423f0-1d1e-48f0-9541-91f76e09e466,2,1,403.52,1,10.8,PWPX0982761091060,Ramen,Supermarket,Supermarket,10.8,1,1,Low ($10-25)
fa98a372-4b56-4dfb-968a-cef304741ec1,19,1,183.23,1,196.72,PWPX0982761091108,Dell XPS 13,Electronics,Electronics,196.72,1,1,Very High ($100-300)
60474ab4-5e08-406d-b94c-ed9e1c2e51bf,8,1,422.31,1,11.02,PWPX0982761091063,Sweet Potatoes,Supermarket,Supermarket,11.02,1,1,Low ($10-25)
136c3b46-cb80-4019-93ac-64469895094c,4,1,197.76,1,8.23,PWPX0982761091002,Granola Bars,Supermarket,Supermarket,8.23,1,1,Very Low ($0-10)
94644ed5-27f2-47af-9e18-67411131d7f5,9,1,257.43,1,7.81,PWPX0982761091074,Frozen Corn,Supermarket,Supermarket,7.81,1,1,Very Low ($0-10)
